,index,Latitude,LatitudeDir,Longitude,LongitudeDir,Altitude,Category
454,3820,,,,,,
455,3821,,,,,,
456,3822,,,,,,
457,3823,,,,,,
458,3824,,,,,,
459,3825,,,,,,
460,3826,,,,,,
461,3827,,,,,,
462,3828,,,,,,
463,3829,,,,,,
464,3830,,,,,,
465,3831,,,,,,
466,3832,,,,,,
467,3833,,,,,,
468,3834,,,,,,
469,3835,,,,,,
470,3836,,,,,,
471,3837,,,,,,
472,3838,,,,,,
473,3839,,,,,,
474,3840,,,,,,
475,3841,,,,,,
476,3842,,,,,,
477,3843,,,,,,
478,3844,,,,,,
479,3845,,,,,,
480,3846,,,,,,
481,3847,,,,,,
482,3848,,,,,,
483,3849,,,,,,
484,3850,,,,,,
485,3851,,,,,,
486,3852,,,,,,
487,3853,,,,,,
488,3854,,,,,,
489,3855,,,,,,
490,3856,,,,,,
491,3857,,,,,,
492,3858,,,,,,
493,3859,,,,,,
494,3860,,,,,,
495,3861,,,,,,
496,3862,,,,,,
497,3863,,,,,,
498,3864,,,,,,
499,3865,,,,,,
500,3866,,,,,,
501,3867,,,,,,
502,3868,,,,,,
503,3869,,,,,,
504,3870,,,,,,
505,3871,,,,,,
506,3872,,,,,,
507,3873,,,,,,
508,3874,,,,,,
509,3875,,,,,,
510,3876,,,,,,
511,3877,,,,,,
512,3878,,,,,,
513,3879,,,,,,
514,3880,,,,,,
515,3881,,,,,,
516,3882,,,,,,
517,3883,,,,,,
518,3884,,,,,,
519,3885,,,,,,
520,3886,,,,,,
521,3887,,,,,,
522,3888,,,,,,
523,3889,,,,,,
524,3890,,,,,,
525,3891,,,,,,
526,3892,,,,,,
527,3893,,,,,,
528,3894,,,,,,
529,3895,,,,,,
530,3896,,,,,,
531,3897,,,,,,
532,3898,,,,,,
533,3899,,,,,,
534,3900,,,,,,
535,3901,,,,,,
536,3902,,,,,,
537,3903,,,,,,
538,3904,,,,,,
539,3905,,,,,,
540,3906,,,,,,
541,3907,,,,,,
542,3908,,,,,,
543,3909,,,,,,
544,3910,,,,,,
545,3911,,,,,,
546,3912,,,,,,
547,3913,,,,,,
548,3914,,,,,,
549,3915,,,,,,
550,3916,,,,,,
551,3917,,,,,,
552,3918,,,,,,
553,3919,,,,,,
554,3920,,,,,,
555,3921,,,,,,
556,3922,,,,,,
557,3923,,,,,,
558,3924,,,,,,
559,3925,,,,,,
560,3926,,,,,,
561,3927,,,,,,
562,3928,,,,,,
563,3929,,,,,,
564,3930,,,,,,
565,3931,,,,,,
566,3932,,,,,,
567,3933,,,,,,
568,3934,,,,,,
569,3935,,,,,,
570,3936,,,,,,
571,3937,,,,,,
572,3938,,,,,,
573,3939,,,,,,
574,3940,,,,,,
575,3941,,,,,,
576,3942,,,,,,
577,3943,,,,,,
578,3944,,,,,,
579,3945,,,,,,
580,3946,,,,,,
581,3947,,,,,,
582,3948,,,,,,
583,3949,,,,,,
584,3950,,,,,,
585,3951,,,,,,
586,3952,,,,,,
587,3953,,,,,,
588,3954,,,,,,
589,3955,,,,,,
590,3956,,,,,,
591,3957,,,,,,
592,3958,,,,,,
593,3959,,,,,,
594,3960,,,,,,
595,3961,,,,,,
596,3962,,,,,,
597,3963,,,,,,
598,3964,,,,,,
599,3965,,,,,,
600,3966,,,,,,
601,3967,,,,,,
602,3968,,,,,,
603,3969,,,,,,
604,3970,,,,,,
605,3971,,,,,,
606,3972,,,,,,
607,3973,,,,,,
